Номер;Дата підписання;Кількість;Рік;Назва угоди;галузь;місто;чинність;рік припинення;КОРОТКИЙ ЗМІСТ;Наявність на сайті ВР;Сфера дії договору;Загальна сфеа;Посилання на закон;темін припинення;актуальність;Рівень договоу;Тип договору;
;28.05.1997;10;1997;Протокол між Державною митною службою України та Державним митним комітетом РФ про впорядкування переміщення через українсько-російський державний кордон алкогольних і тютюнових виробів від 28.05.97.;алкогольні та тютюнові вироби;Київ;чинний;;"упорядкування переміщення через українсько-російський 
державний кордон алкогольних і тютюнових виробівупорядкування переміщення через українсько-російський 
державний кордон алкогольних і тютюнових виробівупорядкування переміщення через українсько-російський 
державний кордон алкогольних і тютюнових виробів";;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_123;5 років з шестимісячним розриванням;актуально;міжвідомчі;протокол;
;30.10.1997;11;1997;Протокол про внесення змін до Угоди між Урядом України і Урядом РФ про співробітництво прикордонних областей України та РФ від 27.01.95, підписаний 30.10.97;співпраця прикордонних областей;Київ;чинний;;"Сторони будуть   сприяти   розвитку    співробітництва    між 
прикордонними    областями    Україна   (Донецькою,   Запорізькою, 
Луганською,  Сумською,  Харківською та Чернігівською областями)  і 
Російської   Федерації  (Білгородською,  Брянською,   Воронізькою, 
Курською,  Ростовською областями та Краснодарським краєм),  в тому 
числі   у   реалізації   домовленостей   відповідно   до   чинного 
законодавства України і Російської Федерації та укладених між ними 
угодСторони будуть   сприяти   розвитку    співробітництва    між 
прикордонними    областями    Україна   (Донецькою,   Запорізькою, 
Луганською,  Сумською,  Харківською та Чернігівською областями)  і 
Російської   Федерації  (Білгородською,  Брянською,   Воронізькою, 
Курською,  Ростовською областями та Краснодарським краєм),  в тому 
числі   у   реалізації   домовленостей   відповідно   до   чинного 
законодавства України і Російської Федерації та укладених між ними 
угодСторони будуть   сприяти   розвитку    співробітництва    між 
прикордонними    областями    Україна   (Донецькою,   Запорізькою, 
Луганською,  Сумською,  Харківською та Чернігівською областями)  і 
Російської   Федерації  (Білгородською,  Брянською,   Воронізькою, 
Курською,  Ростовською областями та Краснодарським краєм),  в тому 
числі   у   реалізації   домовленостей   відповідно   до   чинного 
законодавства України і Російської Федерації та укладених між ними 
угод";;прикордонні відносини;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_227/sp:max25;до терміну дії відповідної Угоди;актуально;міжурядові;протокол;
;28.05.1997;12;1997;Угода між Урядом України і Урядом РФ про співробітництво в галузі переробки ртутьвмісних відходів від 28.05.97.;оптимізація виробництва ртуті та переробка ртутовмістних відходів;Київ;чинний;;"переробка ртутьвмісних  відходів  російських  підприємств  на Микитівському ртутному комбінаті (Україна, м. Горлівка); участь у  розробці  та реалізації державних програм і заходів Сторін, спрямованих на оптимізацію виробництва і споживання ртуті, переробку ртутьвмісних відходів;
     взаємодія в галузі стандартизації,  метрології і сертифікації ртутьвмісних відходів, умов їх зберігання та перевезення;
     обмін інформацією, організація навчання спеціалістівпереробка ртутьвмісних  відходів  російських  підприємств  на Микитівському ртутному комбінаті (Україна, м. Горлівка); участь у  розробці  та реалізації державних програм і заходів Сторін, спрямованих на оптимізацію виробництва і споживання ртуті, переробку ртутьвмісних відходів;
     взаємодія в галузі стандартизації,  метрології і сертифікації ртутьвмісних відходів, умов їх зберігання та перевезення;
     обмін інформацією, організація навчання спеціалістівпереробка ртутьвмісних  відходів  російських  підприємств  на Микитівському ртутному комбінаті (Україна, м. Горлівка); участь у  розробці  та реалізації державних програм і заходів Сторін, спрямованих на оптимізацію виробництва і споживання ртуті, переробку ртутьвмісних відходів;
     взаємодія в галузі стандартизації,  метрології і сертифікації ртутьвмісних відходів, умов їх зберігання та перевезення;
     обмін інформацією, організація навчання спеціалістів";;переробка ртуті;торгово-економічні відносини;http://zakon.rada.gov.ua/rada/show/643_104/sp:max25;безстроково з шестимісячним розриванням;актуально;міжурядові;угода;
;23.12.1997;13;1997;Угода про співробітництво між Державним комітетом статистики України і Державним комітетом РФ по статистиці від 23.12.97.;обмін статистичною інформацією;Київ;припинений;2018;"обмін статистичною  інформацією  по  узгодженому  Сторонами переліку показників;  - обмін статистичними виданнями і публікаціями  (щорічниками, збірниками,    бюлетенями,    повідомленнями   та   оглядами   про соціально-економічне становище держав і окремих регіонів);     - обмін   методологічними   матеріалами   та   розробками  по створенню  і  функціонуванню   систем   статистичних   показників, 
програмами   і   методами  проведення  статистичних  спостережень, переписів, обстежень;   - обмін  досвідом  з  практичних питань розвитку статистики в умовах реформування економіки;     - обмін досвідом з питань розвитку інформаційних технологій у статистиці. обмін статистичною  інформацією  по  узгодженому  Сторонами переліку показників;  - обмін статистичними виданнями і публікаціями  (щорічниками, збірниками,    бюлетенями,    повідомленнями   та   оглядами   про соціально-економічне становище держав і окремих регіонів);     - обмін   методологічними   матеріалами   та   розробками  по створенню  і  функціонуванню   систем   статистичних   показників, 
програмами   і   методами  проведення  статистичних  спостережень, переписів, обстежень;   - обмін  досвідом  з  практичних питань розвитку статистики в умовах реформування економіки;     - обмін досвідом з питань розвитку інформаційних технологій у статистиці. обмін статистичною  інформацією  по  узгодженому  Сторонами переліку показників;  - обмін статистичними виданнями і публікаціями  (щорічниками, збірниками,    бюлетенями,    повідомленнями   та   оглядами   про соціально-економічне становище держав і окремих регіонів);     - обмін   методологічними   матеріалами   та   розробками  по створенню  і  функціонуванню   систем   статистичних   показників, 
програмами   і   методами  проведення  статистичних  спостережень, переписів, обстежень;   - обмін  досвідом  з  практичних питань розвитку статистики в умовах реформування економіки;     - обмін досвідом з питань розвитку інформаційних технологій у статистиці. ";;статистичні дані;інформаційно-комунікаційна сфера;http://zakon.rada.gov.ua/laws/show/643_166;три роки з шестимісячним розривання;припинений;міжвідомчі;угода;
;25.12.1997;14;1997;"Угода між Міністерством агропромислового комплексу України і Міністерством сільського господарства та продовольства РФ про економічне та науково-технічне співробітництво від 25.12.97.""";спільно вивчати внутрішні і закордонні ринки сільськогосподарської і харчової продукції, засобів виробництва і сприяти закріпленню виробничих і торгових фірм на таких ринка;Москва;чинний;;сприяти також здійсненню і розширенню взаємовигідної торгівлі сільськогосподарською продукцією, продуктами харчової і переробної промисловості, матеріалами, обладнанням, енергоносіями і технологічними лініями малих потужностей з переробки та упаковки сільськогосподарської продукції, проводячи з цією метою регулярні двосторонні консультації.;;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_417;5 років з шестимісячним розриванням;актуально;міжвідомчі;угода;
;26.12.1997;15;1997;Угода між Кабінетом Міністрів України та Урядом РФ про взаєморозрахунки при поставці Україною рибопромислових суден від 26.12.97;постачання РФ рибнопромислових суден в розрахунок за держкредит;Київ;чинний;;"Українська Сторона забезпечить  поставку  Російській  Стороні 
середніх  риболовних  траулерів  у кількості трьох одиниць (далі - 
продукція)  загальною  вартістю  до  12,5  млн.  доларів   США Українська Сторона забезпечить  поставку  Російській  Стороні 
середніх  риболовних  траулерів  у кількості трьох одиниць (далі - 
продукція)  загальною  вартістю  до  12,5  млн.  доларів   США Українська Сторона забезпечить  поставку  Російській  Стороні 
середніх  риболовних  траулерів  у кількості трьох одиниць (далі - 
продукція)  загальною  вартістю  до  12,5  млн.  доларів   США ";;боргові/кредитні зобов'язання;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_228;до повного виконання угод;неактуально;міжвідомчі;угода;
;20.08.1997;1;1998;"Угода між Урядом України і Урядом РФ про співробітництво в сфері розробки, виробництва  поставок і експлуатації авіаційної техніки від 20.08.97.""";"довгострокові   програми   розвитку   авіаційної 
промисловостідовгострокові   програми   розвитку   авіаційної 
промисловостідовгострокові   програми   розвитку   авіаційної 
промисловості";Москва;редакція;2012;"озробка і  серійне виробництво транспортного літака АН-70 та 
 двигунами Д-27;
пасажирського літака ТУ-334 з 
двигунами Д-436Т1;
    пасажирського літака АН-38;
вертольота КА-226  (КА-228)  з 
двигунами Д-450;
      транспортного літака АН-124  з  двигунами 
Д-18Т ;
     транспортного  літака  АН-74  (АН-72) та іншеозробка і  серійне виробництво транспортного літака АН-70 та 
 двигунами Д-27;
пасажирського літака ТУ-334 з 
двигунами Д-436Т1;
    пасажирського літака АН-38;
вертольота КА-226  (КА-228)  з 
двигунами Д-450;
      транспортного літака АН-124  з  двигунами 
Д-18Т ;
     транспортного  літака  АН-74  (АН-72) та іншеозробка і  серійне виробництво транспортного літака АН-70 та 
 двигунами Д-27;
пасажирського літака ТУ-334 з 
двигунами Д-436Т1;
    пасажирського літака АН-38;
вертольота КА-226  (КА-228)  з 
двигунами Д-450;
      транспортного літака АН-124  з  двигунами 
Д-18Т ;
     транспортного  літака  АН-74  (АН-72) та інше";;авіація та повітряна оборона;авіа та суднобудування;http://zakon.rada.gov.ua/laws/show/643_109;на рік з шестимісячним розриванням;актуально;міжурядові;угода;порушується
;17.02.1998;2;1998;Протокол між МЗС України і МЗС РФ про співробітництво в галузі архівів від 17.02.98.;надання у користування архівної інформації;Київ;чинний;;"Сторони будуть   співробітничати   та   надавати  одна  одній 
сприяння у виявленні та копіюванні архівних документів з тематики, 
що  цікавить  іншу Сторону.Сторони будуть   співробітничати   та   надавати  одна  одній 
сприяння у виявленні та копіюванні архівних документів з тематики, 
що  цікавить  іншу Сторону.Сторони будуть   співробітничати   та   надавати  одна  одній 
сприяння у виявленні та копіюванні архівних документів з тематики, 
що  цікавить  іншу Сторону.";;архіви;інформаційно-комунікаційна сфера;http://zakon.rada.gov.ua/laws/show/643_229;5 років з шестимісячним розриванням;актуально;міжвідомчі;протокол;
;27.02.1998;3;1998;"Спільна заява про подальший розвиток рівноправного партнерства і співробітництва в рамках СНД від 27.02.98""";прикордонні відносини;Київ;чинний;;"враховуючи прохання Автономної Республіки Крим про  поширення 
на  її територію дії Угоди між Урядом України та Урядом Російської 
Федерації про співробітництво  прикордонних  областей  України  та 
Російської Федерації від 27 січня 1995 р. враховуючи прохання Автономної Республіки Крим про  поширення 
на  її територію дії Угоди між Урядом України та Урядом Російської 
Федерації про співробітництво  прикордонних  областей  України  та 
Російської Федерації від 27 січня 1995 р. враховуючи прохання Автономної Республіки Крим про  поширення 
на  її територію дії Угоди між Урядом України та Урядом Російської 
Федерації про співробітництво  прикордонних  областей  України  та 
Російської Федерації від 27 січня 1995 р. ";;прикордонні відносини;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_249;заява;неактуальна;міжнародні;спільна заява;
;27.02.1998;4;1998;"Заява Президентів України і РФ (за підсумками державного візиту Президента України Л.Кучми до РФ) від 27.02.98.""";стан справ міжнародних відносин;Москва;чинний;;"активізацію    взаємовигідного    економічного 
співробітництва і,  перш за все,  на практичну реалізацію угод про 
створення зон вільної торгівлі,  поетапного  формування  спільного 
економічного    просторуактивізацію    взаємовигідного    економічного 
співробітництва і,  перш за все,  на практичну реалізацію угод про 
створення зон вільної торгівлі,  поетапного  формування  спільного 
економічного    простору";;міжнародна співпраця;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/643_249;заява;неактуальна;міжнародні;заява;
;27.02.1998;5;1998;"Угода між Міністерством освіти України і Міністерством загальної і професійної освіти РФ про співробітництво в галузі освіти від 27.02.98.""";можливість отримати освіту на різних рівнях в сусідній державі;Москва;чинний;;"особи можуть отримувати освіту,  у тому числі навчатися в  аспірантурі  та 
докторантурі,  отримувати  вчені звання доцента і професора за тих 
самих умов, що і громадяни цієї державиособи можуть отримувати освіту,  у тому числі навчатися в  аспірантурі  та 
докторантурі,  отримувати  вчені звання доцента і професора за тих 
самих умов, що і громадяни цієї держави";;культура, наука, освіта;науково-технічне співробітництво;http://zakon.rada.gov.ua/laws/show/643_164;5 років з шестимісячним розриванням;актуально;міжвідомчі;угода;
;27.02.1998;6;1998;"Спільна заява Президента України і Президента РФ з питання створення військово-транспортного літака нового покоління АН-70 від 27.02.98.""";"Російсько-українська    програма    створення   середнього 
військово-транспортного літака Ан-70Російсько-українська    програма    створення   середнього 
військово-транспортного літака Ан-70";Москва;припинений;;"передбачається як взяття літака Ан-70 на  озброєння 
національних  ВПС  Росії  й  України,  так  і його активне спільне 
просування на світовий ринок авіаційної техніки. передбачається як взяття літака Ан-70 на  озброєння 
національних  ВПС  Росії  й  України,  так  і його активне спільне 
просування на світовий ринок авіаційної техніки. ";;авіація та повітряна оборона;авіа та суднобудування;http://zakon.rada.gov.ua/rada/show/643_a01;до виконання умов;неактуально;міжнародні;спільна;
;20.03.1998;7;1998;"Угода про заходи довір’я і розвитку контактів між Республікою Молдова і Придністров’ям (Україна і РФ є країнами-гарантами) від 20.03.98.""";виведення російських військ та майна з Придністров'я;Одеса;н.а;;вивезення російських військ з Придністров'я через територію України;;військова сфера;оборона;https://xn--80aagahqwyibe8an.com/evro-bezpetsi-spivrobitnitstvu-organizatsiya/ugoda-pro-zahodi-doviri-rozvitok-kontaktiv-mij237166.html;до виконання умов;неактуально;міжнародні;угода;
;27.02.1998;8;1998;Угода між Кабінетом Міністрів України і Урядом РФ про співробітництво в галузі урядового зв’язку від 27.02.98.;встановлення урядового зв'язку;Київ;чинний;;;;міжнародна співпраця;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/157-98-%D0%BF;не вказано термін;актуально;міжурядові;угода;порушується
?;27.02.1998;9;1998;Угода між Кабінетом Міністрів України та Урядом РФ щодо організації лінії прямого засекреченого телефонного зв’язку між Києвом і Москвою від 27.02.98.;;;немає в базі;;;немає;комунікація;інформаційно-комунікаційна сфера;;;неактуально;міжвідомчі;угода;
;27.02.1998;10;1998;"Угода між Кабінетом Міністрів України та Урядом РФ про співробітництво в галузі інформації від 27.02.98.""";сприянню взаємоїі ЗМІ обох країн;Київ;припинений;2018;для широкого та вільного взаємного розповсюдження інформації з метою подальшого поглиблення знань про життя народів їхніх держав;;інформаційна сфера;інформаційно-комунікаційна сфера;http://zakon.rada.gov.ua/laws/show/643_112;5 років з шестимісячним розриванням;актуально;міжвідомчі;угода;порушується
;09.05.1998;11;1998;"Угода між Національним банком України і Центральним банком РФ про міжбанківські розрахунки і співробітництво банківських систем від 09.05.98.""";"платежі між господарюючими суб'єктами Російської Федерації і України
здійснюються в національних валютах Російської Федерації і
Україна (рублях і гривнях)платежі між господарюючими суб'єктами Російської Федерації і України
здійснюються в національних валютах Російської Федерації і
Україна (рублях і гривнях)";Київ;чинний;;"розрахунки і платежі здійснюються
через кореспондентські рахунки (в рублях - на території Російської
Федерації і в гривнях - на території України) уповноважених
банків Російської Федерації і Українирозрахунки і платежі здійснюються
через кореспондентські рахунки (в рублях - на території Російської
Федерації і в гривнях - на території України) уповноважених
банків Російської Федерації і України";;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_152/sp:max20;1 рік з шестимісячним розриванням;актуально;міжвідомчі;угода;
;15.05.1998;12;1998;Угода між МВС України і МВС РФ про співробітництво органів внутрішніх справ прикордонних регіонів від 15.05.98;підвищення ефективності взаємодії органів внутрішніх справ прикордонних регіонів України та Російської Федерації;Москва;чинний;;Органи внутрішніх справ прикордонних регіонів будуть взаємно, на підставі чинного законодавства, обмінюватися оперативно-розшуковою, криміналістичною та іншою інформацією;;прикордонні відносини;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_424;безстроково з шестимісячним розриванням;актуально;міжвідомчі;угода;порушується
?;15.05.1998;13;1998;"Угода (в формі обміну нотами) між Кабінетом Міністрів України та Урядом РФ стосовно визначення України як запускаючої держави стосовно запусків ракетами-носіями Зенит” з космодрому Байконур космічних апаратів “Глобал Стар” від 15.05.98.""";;;немає в базі;;;немає;ракети;ракетно-космічна  техніка;;;;міжвідомчі;угода;
;28.05.1998;14;1998;"Протокол між Державною митною службою України і Державним митним комітетом РФ про співробітництво в галузі соціального забезпечення співробітників митних органів від 28.05.98.""";соціальний захист співробітників митниці;Київ;чинний;;"Сторони 
на взаємній основі надають  одна  одній  місця  для  відпочинку  в 
підвідомчих лікувально-оздоровчих і санаторно-курортних закладах.Сторони 
на взаємній основі надають  одна  одній  місця  для  відпочинку  в 
підвідомчих лікувально-оздоровчих і санаторно-курортних закладах.";;соціальна політика;культурно-гуманітарна сфера;http://zakon.rada.gov.ua/rada/show/643_275;безстроково з трьохмісячним розриванням;неактуально;міжвідомчі;протокол;
;28.05.1998;15;1998;Протокол між Державною митною службою України і Державним митним комітетом РФ про співробітництво в боротьбі з контрабандою культурних цінностей від 28.05.98.;вилучення контрабанди культурних цінностей ;Київ;чинний;;"активізувати роботу в 
галузі запобігання незаконного вивезення культурного надбання двох 
державактивізувати роботу в 
галузі запобігання незаконного вивезення культурного надбання двох 
держав";;митниця;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_277;безстроково;актуально;міжвідомчі;протокол;
;28.05.1998;16;1998;Протокол між Державною митною службою України і Державним митним комітетом РФ щодо реалізації Угоди між Урядом України і Урядом РФ про співробітництво та взаємодопомогу в митних справах від 28.05.98.;обмін інформацією митрного контролю ;Київ;чинний;;"Заходи з  координації  митного  контролю та обмін інформацією 
здійснюються Сторонами в межах їх компетенції і можливостейЗаходи з  координації  митного  контролю та обмін інформацією 
здійснюються Сторонами в межах їх компетенції і можливостей";;митниця;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_278;не вказано термін;актуально;міжвідомчі;протокол;
;28.05.1998;17;1998;Протокол між Державною митною службою України і Державним митним комітетом РФ про співробітництво в галузі підготовки і підвищення кваліфікації кадрів від 28.05.98.;співробітництво  в  галузі підготовки,   перепідготовки  і  підвищення  кваліфікації  митного персоналу;Київ;чинний;;"сторони представляють одна одній на взаємній основі навчальні 
місця в своїх навчальних закладах, аспірантурах та докторантурахсторони представляють одна одній на взаємній основі навчальні 
місця в своїх навчальних закладах, аспірантурах та докторантурах";;митниця;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_276;безстроково;актуально;міжвідомчі;протокол;
;24.04.1998;18;1998;Угода між Кабінетом Міністрів України і Урядом РФ про виробничу кооперацію від 24.04.98.;" виробнича кооперація між підприємствами всіх форм
власності на основі прямих виробничих зв'язків і їх
спеціалізації виробнича кооперація між підприємствами всіх форм
власності на основі прямих виробничих зв'язків і їх
спеціалізації";Київ;редакція;2011;"Сторони сприятимуть здійсненню і розвитку
виробничої кооперації між підприємствами всіх форм
власності на основі прямих виробничих зв'язків і їх
спеціалізаціїСторони сприятимуть здійсненню і розвитку
виробничої кооперації між підприємствами всіх форм
власності на основі прямих виробничих зв'язків і їх
спеціалізації";;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_093;3 роки з шестимісячним розриванням;актуально;міжвідомчі;угода;
;10.11.1998;19;1998;Угода про співробітництво між Державним комітетом України по стандартизації, метрології та сертифікації і Російським морським регістром судноплавства в галузі стандартизації та сертифікації продукції суднобудування від 10.11.98.;стандартизація продукції в галузі суднобудування;Київ;чинний;;"стандартизації  в галузі суднобудування і залучає Регістр до робіт із стандартизації продукції в галузі  суднобудування,  спрямованих  на  гармонізацію 
національних  стандартів  України  з  міжнародними,  європейськими стандартами та Правилами Регіструстандартизації  в галузі суднобудування і залучає Регістр до робіт із стандартизації продукції в галузі  суднобудування,  спрямованих  на  гармонізацію 
національних  стандартів  України  з  міжнародними,  європейськими стандартами та Правилами Регістру";;судноплавство;авіа та суднобудування;http://zakon.rada.gov.ua/laws/show/643_097/sp:max20;1 рік з трьохмісячним розриванням;актуально;міжвідомчі;угода;
;25.11.1998;20;1998;Угода про співробітництво між Міністерством юстиції України та Міністерством юстиції РФ від 25.11.98.;законодавство;Москва;припинений ;2018;"взаємна допомога між фахівцями в галузі права двох країн,встановлення партнерських зв'язків між установами  юстиції 
обох країн,регулярний   обмін   поточним   законодавством,  юридичною 
літературою з питань права,  а також інформацією,  що належить  до 
правової сфери";;законодавство;правове регулювання;http://zakon.rada.gov.ua/laws/show/643_096;безстроково з трьохмісячним розриванням;припинений;міжвідомчі;угода;
;24.12.1998;21;1998;Угода про співробітництво між Головним архівним управлінням при Кабінеті Міністрів України та Федеральною архівною службою Росії від 24.12.98.;"обмінюються законодавчими документами, що регламентують 
діяльність    архівних    установ,   а   також   архівознавчою   і 
науково-методичною літературою з архівної справи";Москва;чинний;;"обмін  досвідом  роботи   між   архівними 
установами   з   напрямів  діяльності  державних  архівів,  що  їх 
цікавлять";;архіви;інформаційно-комунікаційна сфера;http://zakon.rada.gov.ua/laws/show/643_163;5 років з шестимісячним розриванням;неактуально;міжвідомчі;угода;
?;17.03.1999;1;1999;Угода між Міністерством промислової політики України і Міністерством економіки РФ щодо транзиту аміаку через територію України від 17.03.99.;транзит аміаку;;немає в базі;;;немає;економіка;торгово-економічні відносини;;;;міжвідомчі;угода;
;01.04.1999;2;1999;Договір про дружбу, співробітництво і партнерство між Україною і РФ від 31.05.97.;високі договірні відносини;Київ;припинений;2019;по різним напрямкам;;міжнародна співпраця;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/643_006;10 років з шестимісячним розриванням;припинений;міжнародні;договір;порушується
;30.10.1997;3;1999;Угода між Урядом України і Урядом РФ про взаємний залік заборгованості за поставлені енергетичні ресурси і за розщеплювальні матеріали від 30.10.97.;зарахування боргових зов'язань України за нафту, Росії -розщеплювальних матеріалі, з ядерних боєприпасів;Київ;чинний;;"Сторони здійснюють залік заборгованості Української Сторони в 
загальній сумі 250,171 млн.  доларів США,  що виникла в результаті 
реалізації міжурядових     угод     про     торговельно-економічне 
співробітництво в  1993-1994  роках,  в  тому  числі   за   нафту, 
поставлену в  1993 році російськими нафтодобувними підприємствами, 
на суму 119,450 млн.  доларів США, а також за нафту, нафтопродукти 
та інші   матеріально-технічні   ресурси";;боргові/кредитні зобов'язання;боргові заборгованості;http://zakon.rada.gov.ua/laws/show/643_073;не вказано термін;неактуально;міжурядові;угода;
;26.05.1999;4;1999;"Угода між Державним комітетом будівництва архітектури та житлової політики України і Державним комітетом РФ з будівельної архітектурної та житлової політики про узгодження і участь в спільній розробці нормативних документів в галузі експлуатації та ремонту будівельних машин від 26.05.99.""";"договори  між  організаціями-розробниками  нормативних 
документів в галузі експлуатації та ремонту будівельних машин";Київ;припинений ;2008;" Співробітництво Сторін   здійснюється   на   основі    прямих 
договорів  (програм)  між  організаціями-розробниками  нормативних 
документів в галузі експлуатації та ремонту будівельних машин";;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_279/sp:max25;безстроково з шестимісячним розриванням;припинений;міжвідомчі;угода;
;18.12.1999;5;1999;"Угода між Кабінетом Міністрів України і Урядом РФ з питань забезпечення екологічної безпеки та екологічного контролю в місцях базування Чорноморського флоту РФ на території України від 18.12.98.""";"припинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення наслідків забруднень,  допущених Чорноморським  флотом на території України";Москва;чинний;;"вживати заходів  щодо  припинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення 
наслідків забруднень,  допущених Чорноморським  флотом  колишнього 
СРСР  у  минулому,  та  поліпшення  екологічного  стану  в  місцях 
спільного базування Чорноморського флоту Російської  Федерації  та 
Військово-Морських Сил України";;Чорноморський флот;Чорноморський флот та Азовське море;http://zakon.rada.gov.ua/laws/show/643_301/sp:max25;безстроково;неактуально;міжвідомчі;угода;порушується
