№,Номер,Дата підписання,Кількість документів ,Рік,Назва угоди,ціль,місто,чинність,рік припинення,КОРОТКИЙ ЗМІСТ,Наявність на сайті ВР,Сфера дії договору,галузь,Загальна сфеа,Код ,Код 2,Посилання на закон,темін припинення,актуальність,виконання,Рівень договоу,Тип договору,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,
219,643_703,16.07.1999,14,1999,Угода між Урядом Російської Федерації та Кабінетом Міністрів України про співробітництво в галузі туризмувід 16.07.99.,"спрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміномспрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміномспрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміном",Київ,редакція,,"спрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміном.спрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміном.спрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміном.",,прикордонні відносини,"спрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміномспрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміномспрощення прикордонних, митних та інших
формальностей, пов'язаних зі взаємним туристським обміном",прикордонні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_703/sp:max100,5 років з шестимісячним розриванням,актуальні,,міжурядові,угода,,,,порушується
220, 643_340,16.07.1999,15,1999,"Протокол між державною митною службою України та Державним митним комітетом Російської Федерації щодо експерименту по організації спільного митного контролю за товарами, що переміщуються через українсько-російський кордон в міжнародних пасажирських потягах від 16.07.99.","спільний   митний   контролю   на  ділянці 
залізниці ""Харків - Бєлгород""спільний   митний   контролю   на  ділянці 
залізниці ""Харків - Бєлгород""спільний   митний   контролю   на  ділянці 
залізниці ""Харків - Бєлгород""",н.а,припинений 2000,2000,"проведення  експерименту  по 
здійсненню   спільного   митного   контролю   за   товарами,    що 
переміщуються фізичними особами через українсько-російський кордон 
в міжнародних пасажирських потягах на ділянці залізниціпроведення  експерименту  по 
здійсненню   спільного   митного   контролю   за   товарами,    що 
переміщуються фізичними особами через українсько-російський кордон 
в міжнародних пасажирських потягах на ділянці залізниціпроведення  експерименту  по 
здійсненню   спільного   митного   контролю   за   товарами,    що 
переміщуються фізичними особами через українсько-російський кордон 
в міжнародних пасажирських потягах на ділянці залізниці",,митниця,"спільний   митний   контролю   на  ділянці 
залізниці ""Харків - Бєлгород""спільний   митний   контролю   на  ділянці 
залізниці ""Харків - Бєлгород""спільний   митний   контролю   на  ділянці 
залізниці ""Харків - Бєлгород""",митниця,2,2,http://zakon.rada.gov.ua/laws/show/643_340,1 рік,неактуальні,,міжвідомчі,протокол, 643_340,,,
221,643_254,16.07.1999,16,1999,"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про використання силами та засобами ЧФ РФ повітряного простору України та повітряного простору над акваторією Чорного моря, де, відповідальність за безпеку польотів та організацію обслуговування повітряного руху покладена на Україну від 16.07.99.",використання повітряного простору України та над акваторією Чорного моря здійснюється відповідно до норм Українського законодавства,Москва,редакція,,"Діяльність  сил і засобів Чорноморського флоту Російської 
Федерації пов'язана з використанням повітряного простору України та повітряного простору над акваторією Чорного моря,  здійснюється у відповідності до норм та  вимог  Повітряного кодексу України  Діяльність  сил і засобів Чорноморського флоту Російської 
Федерації пов'язана з використанням повітряного простору України та повітряного простору над акваторією Чорного моря,  здійснюється у відповідності до норм та  вимог  Повітряного кодексу України  ",,Чорноморський флот,використання повітряного простору України та над акваторією Чорного моря здійснюється відповідно до норм Українського законодавства,Чорноморський флот та Азовське море,1,1,http://zakon.rada.gov.ua/laws/show/643_254/sp:max10,до виконання умов,неактуальні,,міжурядові,угода,643_076,,,
222,643_599,03.08.1999,17,1999,Угода між Урядом України та Урядом РФ про уникнення подвійного оподаткування доходів та майна та попередження ухилень від сплати податків від 08.02.95.,"уникнення подвійного оподаткування 
доходів і майна та попередження  ухилень  від  сплати  податків уникнення подвійного оподаткування 
доходів і майна та попередження  ухилень  від  сплати  податків ",Київ,чинний,,"Якщо резидент однієї Договірної Держави одержує доход  або 
володіє  майном  у  другій  Договірній Державі,  які відповідно до 
положень цієї Угоди можуть оподатковуватись у другій Державі, сума 
податку  на  цей  доход або майно,  сплачена в цій другій Державі, 
підлягає вирахуванню з податку, який стягується з такого резидента 
стосовно  такого  доходу  або майна в першій згаданій Державі.  Ці 
вирахування,  проте,  не будуть перевищувати суму  податку  першої 
Держави  на  такий доход або майно,  нарахованого відповідно до її 
податкового законодавства і правил.Якщо резидент однієї Договірної Держави одержує доход  або 
володіє  майном  у  другій  Договірній Державі,  які відповідно до 
положень цієї Угоди можуть оподатковуватись у другій Державі, сума 
податку  на  цей  доход або майно,  сплачена в цій другій Державі, 
підлягає вирахуванню з податку, який стягується з такого резидента 
стосовно  такого  доходу  або майна в першій згаданій Державі.  Ці 
вирахування,  проте,  не будуть перевищувати суму  податку  першої 
Держави  на  такий доход або майно,  нарахованого відповідно до її 
податкового законодавства і правил.",,економіка,"уникнення подвійного оподаткування 
доходів і майна та попередження  ухилень  від  сплати  податків уникнення подвійного оподаткування 
доходів і майна та попередження  ухилень  від  сплати  податків ",торгово-економічні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_599,5 років з шестимісячним розриванням,актуальні,,міжурядові,угода,,,,
223,643_279,23.09.1999,18,1999,"Угода між Державним комітетом будівництва, архітектури та житлової політики України і Державним комітетом Російської Федерації з будівництва та житлово-комунального комплексу про збереження спеціалізації підприємств з видобутку сировини та виробництва будівельних матеріалів у 1997-2007 роках від 23.09.99.",розробка нормативних документів експлуатації засобів механізації в будівництві,Київ,припинений 2008,2008,забезпечити високий технічний рівень експлуатації засобів механізації в будівництві  шляхом  узгодження та участі в спільній розробці нормативних документів,,будівництво,розробка нормативних документів експлуатації засобів механізації в будівництві,торгово-економічні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_279,1 рік з шестимісячним розриванням,неактуальні,,міжурядові,угода, 643_091,,,
224,643_263,08.10.1999,19,1999,Угода між Кабінетом Міністрів України та Урядом РФ про умови розміщення та обслуговування дипломатичних представництв України в РФ і РФ в Україні від 19.11.98.,"належних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федераціїналежних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федерації",Москва,поточна редакція,,"перебування  і  робота 
дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федерації  та  з  урахуванням  Віденської 
конвенціїперебування  і  робота 
дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федерації  та  з  урахуванням  Віденської 
конвенції",,дипломатичні відносини,"належних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федераціїналежних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федерації",міжнародні відносини,11,11,http://zakon.rada.gov.ua/laws/show/643_263,"49 років з 
автоматичним  продовженням на такі ж наступні періоди,  якщо жодна 
зі Сторін не повідомить письмово іншу Сторону,  не  менше  ніж  за 
один рік до закінчення49 років з 
автоматичним  продовженням на такі ж наступні періоди,  якщо жодна 
зі Сторін не повідомить письмово іншу Сторону,  не  менше  ніж  за 
один рік до закінчення",актуальні,,міжурядові,угода,643_037 ,,,
225,643_263,08.10.1999,20,1999,"Протокол між Кабінетом Міністрів України та Урядом РФ стосовно розміру, термінів та порядку компенсації вартості нерухомості, яка взаємно передається для розміщення дипломатичних представництв України в РФ та РФ в Україні від 19.11.98.","належних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федераціїналежних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федерації",Москва,редакція,2018,"Про розміщення дипломатичних представництв, консульських установ та міжнародних міжурядових організацій, реєстрація зазначених договорів (контрактів) уповноваженими органами, видача правовстановлюючих документів здійснюються лише за наявності відповідної ноти МЗС, а для розміщення міжнародних неурядових організацій та іноземних організацій держави-агресора ",,дипломатичні відносини,"належних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федераціїналежних  умов  перебування  і  роботи дипломатичних представництв  Російської  Федерації  в  Україні  та 
України   в  Російській  Федерації",міжнародні відносини,11,11,http://zakon.rada.gov.ua/laws/show/643_263,"49 років з 
автоматичним  продовженням на такі ж наступні періоди,  якщо жодна 
зі Сторін не повідомить письмово іншу Сторону,  не  менше  ніж  за 
один рік до закінчення49 років з 
автоматичним  продовженням на такі ж наступні періоди,  якщо жодна 
зі Сторін не повідомить письмово іншу Сторону,  не  менше  ніж  за 
один рік до закінчення",актуальні,,міжурядові,протокол,643_037,643_251,,
226, 643_990,28.10.1999,21,1999,"Угода між Кабінетом Міністрів України і Урядом РФ про медичне страхування громадян України , які тимчасово знаходяться в РФ, і громадян РФ, які тимчасово знаходяться в Україні від 28.10.99.","медичне страхування громадян,які пербувають на території союзника",Москва,чинний,,"механізм  організації 
надання та фінансування медичної допомоги громадянам України,  які 
тимчасово  знаходяться  в  Російській  Федерації,   і   громадянам 
Російської Федерації,  які тимчасово знаходяться в Українімеханізм  організації 
надання та фінансування медичної допомоги громадянам України,  які 
тимчасово  знаходяться  в  Російській  Федерації,   і   громадянам 
Російської Федерації,  які тимчасово знаходяться в Україні",,охорона здоров'я,"медичне страхування громадян,які пербувають на території союзника",культурно-гуманітарна сфера,12,12,http://zakon.rada.gov.ua/laws/show/643_990,5 років з шестимісяним терміном розривання,актуальні,,міжурядові,угода,,,,
227, 643_116,02.11.1999,22,1999,"Угода між Урядом Російської Федерації та Кабінетом Міністрів України про передачу з України до Російської Федерації важких бомбардувальників Ту-160, Ту-95МС,крилатих ракет повітряного базування великої дальності та обладнання",,Ялта,поточна редакція,,"Українська Сторона передає у власність Російської Стороні на компенсаційній основі важкі бомбардувальники,оснащені для ядерних крилатих ракет повітряного базування великої дальності типу Ту-160 і типу Ту-95МС, нижче іменовані важкі бомбардувальники Ту-160 і Ту-95МС",,,,авіація,4,4,456,до виконання умов,неактуальні,,міжурядові,угода,643_006,643_043 ,,
228,643_301,18.12.1999,23,1999,"Угода між Кабінетом Міністрів України і Урядом РФ з питань забезпечення екологічної безпеки та екологічного контролю в місцях базування Чорноморського флоту РФ на території України від 18.12.98.""","припинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення наслідків забруднень,  допущених Чорноморським  флотом на території Україниприпинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення наслідків забруднень,  допущених Чорноморським  флотом на території України",Москва,чинний,,"вживати заходів  щодо  припинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення 
наслідків забруднень,  допущених Чорноморським  флотом  колишнього 
СРСР  у  минулому,  та  поліпшення  екологічного  стану  в  місцях 
спільного базування Чорноморського флоту Російської  Федерації  та 
Військово-Морських Сил Українивживати заходів  щодо  припинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення 
наслідків забруднень,  допущених Чорноморським  флотом  колишнього 
СРСР  у  минулому,  та  поліпшення  екологічного  стану  в  місцях 
спільного базування Чорноморського флоту Російської  Федерації  та 
Військово-Морських Сил України",,Чорноморський флот,"припинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення наслідків забруднень,  допущених Чорноморським  флотом на території Україниприпинення  забруднення  навколишнього 
природного  середовища,  а  також  здійснювати  заходи  з усунення наслідків забруднень,  допущених Чорноморським  флотом на території України",Чорноморський флот та Азовське море,1,1,https://zakon.rada.gov.ua/laws/show/643_301,безстроково,неактуальні,,міжвідомчі,угода,,,,
453,,24.01.2000,1,2000,Угоду між СБ України та Федеральним агентством урядового зв’язку та інформації при Президентові РФ про взаємодію в галузі радіоелектронної розвідки від 24 січня 2000 року,,,припинений 2015,2015,,,,,інформаційно-комунікаційна сфера,8,-1,,,,,,,,,,
229,643_101,27.01.2000,2,2000,Угода між Кабінетом Міністрів України і Урядом РФ про заохочення та взаємний захист інвестицій від 27.11.98.,заохочення до інфвестицій на своїй стороні на законодавчому рівні,Москва,чинний,,"заохочувати  інвесторів  іншої   Договірної   Сторони  в  здійсненні  інвестицій  на  своїй 
території і допускає такі  інвестиції  у  відповідності  зі  своїм  законодавствомзаохочувати  інвесторів  іншої   Договірної   Сторони  в  здійсненні  інвестицій  на  своїй 
території і допускає такі  інвестиції  у  відповідності  зі  своїм  законодавством",,інвестиції,заохочення до інфвестицій на своїй стороні на законодавчому рівні,торгово-економічні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_101,5 років з 12місяячним розриванням,актуальні,,міжурядові,угода,,,,
230,643_345,27.01.2000,3,2000,"Протокол про внесення доповнень до Угоди між Урядом України та Урядом Російської Федерації про співробітництво в галузі розробки, виробництва, поставок і експлуатації авіаційної техніки від 20.08.97, підписаний 27.01.00.","уточнення щодо права власнотсі на конструкторської,  технологічної, 
експлуатаційної,  ремонтної,  нормативної та іншої документаціїуточнення щодо права власнотсі на конструкторської,  технологічної, 
експлуатаційної,  ремонтної,  нормативної та іншої документації",Москва,чинний,,"згоджену політику в галузі розробки 
та   реалізації   довгострокових   програм   розвитку   авіаційної 
промисловості своїх країн з метою створення спільними зусиллями на 
взаємовигідній  основі  конкурентоспроможної  авіаційної  технікизгоджену політику в галузі розробки 
та   реалізації   довгострокових   програм   розвитку   авіаційної 
промисловості своїх країн з метою створення спільними зусиллями на 
взаємовигідній  основі  конкурентоспроможної  авіаційної  техніки",,авіація,"уточнення щодо права власнотсі на конструкторської,  технологічної, 
експлуатаційної,  ремонтної,  нормативної та іншої документаціїуточнення щодо права власнотсі на конструкторської,  технологічної, 
експлуатаційної,  ремонтної,  нормативної та іншої документації",авіація,4,4,http://zakon.rada.gov.ua/laws/show/643_345,діє протягом чинностівідповідної Угоди,неактуальні,,міжурядові,протокол,643_109 ,,,
231,643_950,07.02.2000,4,2000,Угода між Україною та РФ про співробітництво в галузі військової розвідки,,,припинений 2015,2015,текст не для друку,,оборона,,оборона,6,6,https://zakon.rada.gov.ua/rada/show/643_950,,,,міжнародні,угода,,,,
232,?,24.02.2000,5,2000,Протокол про співробітництво між ЦВК України та ЦВК Російської Федерації від 24.02.00.,спіпраця виборчих комісій,н.а,немає в базі,,н.а,,виборча комісія,спіпраця виборчих комісій,міжнародні відносини,11,-1,н.а,,,,міжвідомчі,протокол,,,,
233,643_256,16.03.2000,6,2000,"Угода між Міністерством оборони України та Міністерством оборони РФ про розрахунки за виконані роботи та надані послуги на об’єктах, що використовуються спільно від 16.03.00.",пріоритетне  (першочергове) право на отримання послуг та виконання замовлення на спільних об'єктах,Київ,чинний,,"мають  пріоритетне  (першочергове) право на отримання послуг та виконання замовлення на об'єктах, визначених як такі, що використовуються Сторонами спільно",,Чорноморський флот,пріоритетне  (першочергове) право на отримання послуг та виконання замовлення на спільних об'єктах,Чорноморський флот та Азовське море,1,1,http://zakon.rada.gov.ua/laws/show/643_256,"діє протягом  строку  дії  Угоди між Україною та Російською Федерацією 
про статус та умови перебування  Чорноморського  флоту  Російської 
Федерації   на   території    України   від   28 травня  1997 року 
( 643_076 ). діє протягом  строку  дії  Угоди між Україною та Російською Федерацією 
про статус та умови перебування  Чорноморського  флоту  Російської 
Федерації   на   території    України   від   28 травня  1997 року 
( 643_076 ). ",неактуальні,,міжвідомчі,угода,643_076,643_077,643_075,
234,643_258,16.03.2000,7,2000,Угода між Міністерством оборони України та Міністерством оборони РФ про порядок використання 830 поста зв’язку та ретрансляції в м.Ялта (Україна) та 1001 пункта високочастотного зв’язку в с.Прибережне Судакського району України від 16.03.00.,використання технічних засобів та  каналів  зв'язку Чорноморського  флоту  Російської  Федерації Україною,Київ,чинний,,"Використання технічних засобів 830  ПЗР  та  каналів  зв'язку 
1001   ПВЧЗ  в  інтересах  Військово-Морських  Сил  (ВМС)  України 
здійснюється  на  основі  заявок  начальника  штабу  ВМС   України 
начальнику  штабу  Чорноморського  флоту  Російської  Федерації  в 
порядку, що визначається статтями 3 та 4 цієї Угоди. Використання технічних засобів 830  ПЗР  та  каналів  зв'язку 
1001   ПВЧЗ  в  інтересах  Військово-Морських  Сил  (ВМС)  України 
здійснюється  на  основі  заявок  начальника  штабу  ВМС   України 
начальнику  штабу  Чорноморського  флоту  Російської  Федерації  в 
порядку, що визначається статтями 3 та 4 цієї Угоди. ",,Чорноморський флот,використання технічних засобів та  каналів  зв'язку Чорноморського  флоту  Російської  Федерації Україною,Чорноморський флот та Азовське море,1,1,http://zakon.rada.gov.ua/laws/show/en/643_258,діє до чинності угоди,неактуальні,,міжвідомчі,угода,643_317,643_075 ,643_076 ,порушується
235,643_290,16.03.2000,8,2000,Угода між Кабінетом Міністрів України та Урядом Російської Федерації про  використання полігонів військової  підготовки  Військово-морських сил України  військовими формуваннями  ЧФ РФ від 16.03.00,Порядок використання     полігонів     бойової     підготовки Військово-Морських   Сил    України    військовими   формуваннями Чорноморського  флоту  Російської Федерації,Київ,чинний,,"Порядок використання     полігонів     бойової     підготовки 
Військово-Морських   Сил    України ,Порядок використання     полігонів     бойової     підготовки 
Військово-Морських   Сил    України ,",,Чорноморський флот ,Порядок використання     полігонів     бойової     підготовки Військово-Морських   Сил    України    військовими   формуваннями Чорноморського  флоту  Російської Федерації,Чорноморський флот та Азовське море,1,1,http://zakon.rada.gov.ua/laws/show/643_290,діє до чинності угоди,неактуальні,,міжурядові,угода,643_076,643_075,643_077,порушується
236,643_255,16.03.2000,9,2000,"Угода між Кабінетом Міністрів України та Урядом РФ про участь РФ в розвитку соціально-економічної сфери м. Севастополя та інших населених пунктів, в яких дислокуються військові формування ЧФ РФ на території України від 16.03.00.",соціально-економічний розвиток м.Севастополя та інших населених пунктах  в області  будівництва    та    реконструкції   об'єктів   міської інфраструктури,Київ,чинний,,"Російська Сторона візьме участь в 
розвитку  соціально-економічної  сфери  м.  Севастополя  та  інших 
населених   пунктів",,Чорноморський флот,соціально-економічний розвиток м.Севастополя та інших населених пунктах  в області  будівництва    та    реконструкції   об'єктів   міської інфраструктури,Чорноморський флот та Азовське море,1,1,http://zakon.rada.gov.ua/laws/show/643_255,діє до чинності угоди,неактуальні,,міжурядові,угода,643_076,,,порушується
237,643_169,16.03.2000,10,2000,Угода між Кабінетом Міністрів України та Урядом Російської Федерації про взаємне визнання прав та регулювання  відносин власності ЧФ РФ  на житловий фонд  та об’єкти  соціально-побутового призначення в місцях дислокації його військових формувань на території України від 16.03.00.,передача об'єктів житлового фонду ЧФ РФ у власність місцевим органам самоврядування,Київ,чинний,,"Житловий фонд,  об'єкти соціально-побутового  призначення  та 
інженерні  комунікації,  що  знаходяться  на  балансі підприємств, 
організацій та   підрозділів   Чорноморського   флоту  в місцях дислокації військових формувань,   підлягають 
передачі  в  комунальну власність органів місцевого самоврядування 
по фактичному стану згідно з  законодавством  України  на  умовах, 
погоджених   органами  місцевого  самоврядування  з  командуванням 
Чорноморського флоту Російської Федерації",,Чорноморський флот,передача об'єктів житлового фонду ЧФ РФ у власність місцевим органам самоврядування,Чорноморський флот та Азовське море,1,1,http://zakon.rada.gov.ua/laws/show/643_169,діє до чинності угоди,неактуальні,,міжурядові,угода,643_076,,,
238,643_253,16.03.2000,11,2000,"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про порядок  розрахунків в зв”язку з реалізацією віськовослужбовцями ЧФ РФ, на території України, та членами їх сімей - громадянами РФ рівних з громадянами України прав на навчання в учбових закладах загальної освіти, початкової, середньої та вищої професійної освіти, на прийом до дитячих дошкільних установ, а також на охорону здоров’я та інші види соціального обслуговування від 16.03.00.",навчання членам сімей військовослужбовці ЧФ РФ в Україні,Київ,поточна редакція,," військовослужбовцям ЧФ РФ та членами  їх  сімей  - 
громадянами РФ рівних з громадянами України прав 
на навчання в навчальних закладах  загальної  освіти,  початкової, 
середньої  та  вищої  професійної  освіти,  на  прийом  до дитячих 
дошкільних установ,  на охорону здоров'я та інші види  соціального 
обслуговування. ",,Чорноморський флот,навчання членам сімей військовослужбовці ЧФ РФ в Україні,Чорноморський флот та Азовське море,1,1,https://zakon.rada.gov.ua/laws/show/643_253,діє до чинності угоди,неактуальні,,міжурядові,угода,643_076,,,
239,643_124,26.05.2000,12,2000,Угода між Кабінетом Міністрів України та Урядом Російської Федерації про взаємне визнання та еквівалентність документів про освіту  і вчені звання від 26.05.00.,принципів визнання документів про освіту і вчені звання,Москва,редакція 2003,2003," встановлення норм взаємного визнання документів про освіту і вчені звання, що видаються в Україні і Російській Федерації",,наука,принципів визнання документів про освіту і вчені звання,науково-технічне співробітництво,9,9,http://zakon.rada.gov.ua/laws/show/643_124,"безстрокова, з 6 місячним розриванням",актуальні,,міжвідомчі,угода,643_063, 643_164,,
240,643_135,23.10.2000,13,2000,Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво в галузі телебачення і радіомовлення 23.10.00.,трансляції та поширення програм російських телерадіомовних організацій на території України та програмукраїнських телерадіомовних організацій на території Російської Федерації,Москва,припинений 2017,2017,"Сторони розвивають співробітництво по створенню сприятливих
правових, організаційних та економічних умов для забезпечення
трансляції та поширення програм російських
телерадіомовних організацій ",,телебачення,трансляції та поширення програм російських телерадіомовних організацій на території України та програмукраїнських телерадіомовних організацій на території Російської Федерації,інформаційно-комунікаційна сфера,8,8,http://zakon.rada.gov.ua/laws/show/643_135,безстроково з шестимісячним розриванням,неактуальні,,міжурядові,угода,643_006,,,
241,643_167,24.11.2000,14,2000,"Угода між Фондом держмайна України і Міністерством майнових відносин Російської Федерації про співробітництво в галузі обміну інформацією щодо створення умов, що сприяють взаємній участі господарюючих суб’єктів двох країн у програмах приватизації від 24.11.00",програми приватизації,Київ,чинний,,"сприяють   розповсюдженню    інформації,    включаючи 
спеціалізовані  видання  з  питань  приватизації  майна  державних 
підприємств  і  організацій",,приватизація,програми приватизації,правове регулювання,9,9,http://zakon.rada.gov.ua/laws/show/643_167,до 2007,неактуальні,,міжвідомчі,угода,643_091,,,
242,?,24.11.2000,15,2000,"Протокол між Фондом держмайна України і Міністерством майнових відносин Російської Федерації про визнання прав власності Російської Федерації на долю в статутному фонді закритого товариства «Санаторно-готельний комплекс «Дніпро-Бескид» (Україна, Львівська обл., м,Трускавець) від 24.11.00.",,,немає в базі,,,немає,приватизація,,правове регулювання,9,-1,,,неактуальні,,міжвідомчі,протокол,,,,
